fold,epoch,train_loss,val_loss,overall_macro_precision,overall_macro_recall,overall_macro_f1,es_macro_precision,es_macro_recall,es_macro_f1,en_macro_precision,en_macro_recall,en_macro_f1,it_macro_precision,it_macro_recall,it_macro_f1
2,0,0.13307082274541612,0.11721920853273736,0.42822299651567947,0.5,0.46133633633633636,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.4279749478079332,0.5,0.4611923509561305
2,1,0.13037297514759555,0.12035071168922716,0.42822299651567947,0.5,0.46133633633633636,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.4279749478079332,0.5,0.4611923509561305
2,2,0.12898607684151273,0.11636861281262503,0.42822299651567947,0.5,0.46133633633633636,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.4279749478079332,0.5,0.4611923509561305
2,3,0.12325522067438359,0.10480403250290288,0.9288206559665038,0.5048543689320388,0.47129832976940417,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.929769392033543,0.5144927536231884,0.4904012576019817
2,4,0.11468163034469513,0.09651901440487967,0.7160450387051371,0.5169764667777892,0.4978730703259005,0.7628070175438597,0.5132702597356579,0.48931623931623935,0.929769392033543,0.5073529411764706,0.4767249971406631,0.681769722814499,0.5301343230823613,0.5240419924828272
2,5,0.10579570906296518,0.09327231480274349,0.7211883456533956,0.5404208173035145,0.541299504300988,0.7167121625720352,0.5253180255837852,0.5139952153110048,0.6796218487394958,0.5061334289813486,0.4759109964527572,0.7312271062271063,0.5892541534110993,0.612965380073342
2,6,0.1053917847451659,0.0870192148645098,0.7986281588447653,0.5816829532258446,0.6054298967100229,0.7518006618649017,0.5458346621310372,0.5498287671232877,0.8467261904761905,0.5919296987087518,0.6215050240279598,0.7897120518688024,0.6074054436196535,0.6392710111456974
2,7,0.1003121012237931,0.09360578507767059,0.8238779956427016,0.6467962744989612,0.6883298755877834,0.8459161147902869,0.6388150667942313,0.6814434516463445,0.8199339207048458,0.6250358680057388,0.6632447665056361,0.8125783797341359,0.6762106751502297,0.716552224641322
2,8,0.09423565390929606,0.09202792455325834,0.8144969349772372,0.6795425280637032,0.720069580343553,0.8540088042144764,0.6738244569646717,0.7207943925233644,0.7931957433086101,0.6630559540889527,0.7007705528175827,0.8041124386601237,0.7015376458112407,0.7371242823370483
2,9,0.0900307550991923,0.09404138456447982,0.8614760340806321,0.6799770118574577,0.7282619974059663,0.8975396825396826,0.6774919386272634,0.7303745664462393,0.8424187219730942,0.675286944045911,0.7207943925233644,0.8498678122934566,0.6871155885471898,0.7334809515698631
3,0,0.13203952333667787,0.11720654311486417,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
3,1,0.13384373587487342,0.12021783034627637,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
3,2,0.13148993000029643,0.11492344717391663,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
3,3,0.12050399103824107,0.10655942415404651,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
4,0,0.13500388076497777,0.11617801458471351,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
4,1,0.13166965676917797,0.11979491533711553,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
4,2,0.12613593688763908,0.1141280793170962,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
4,3,0.12075093361058774,0.10365006135155758,0.42787456445993033,0.5,0.4611340593315809,0.42782426778242677,0.5,0.46110484780157834,0.4279749478079332,0.5,0.4611923509561305,0.42782426778242677,0.5,0.46110484780157834
